,Business Services,Chemicals,Communication Equipment,Communication Services,Consumer Packaged Goods,Drug Manufacturers,Entertainment,Financial Services,Industrial Products,Insurance,Manufacturing - Apparel & Furniture,Medical,Oil and Gas,REITs,Retail - Apparel & Specialty,Technology,Utilities
Business Services,1175,69,36,75,198,299,77,577,216,21,9,677,91,176,435,222,121
Chemicals,15,1455,3,27,143,1,25,81,260,31,7,218,130,21,118,54,73
Communication Equipment,2,8,485,13,5,1,13,18,11,0,0,35,8,11,63,248,5
Communication Services,7,21,60,1006,39,7,24,123,94,35,2,131,30,40,105,329,254
Consumer Packaged Goods,16,81,14,82,1881,40,61,106,162,39,9,390,171,33,266,102,262
Drug Manufacturers,6,18,27,20,75,490,43,53,50,7,0,552,32,4,68,92,66
Entertainment,15,21,8,88,59,5,1309,141,53,22,9,154,15,58,144,200,43
Financial Services,26,78,20,68,115,6,106,6416,218,310,16,507,118,160,594,266,217
Industrial Products,57,204,16,58,60,14,34,222,2021,45,39,414,101,97,287,307,115
Insurance,35,61,10,31,64,10,24,436,104,948,10,312,105,141,233,147,136
Manufacturing - Apparel & Furniture,5,9,9,13,18,3,26,88,25,1,992,123,53,33,488,120,25
Medical,60,99,63,86,125,64,89,331,359,47,26,5572,116,162,585,443,112
Oil and Gas,58,58,44,155,137,45,155,167,231,16,43,738,5531,168,640,405,306
REITs,50,33,15,23,99,18,67,202,111,39,4,324,77,4021,396,224,112
Retail - Apparel & Specialty,36,21,65,47,62,24,139,208,173,21,42,513,92,179,3607,457,54
Technology,19,67,300,157,104,15,155,199,273,16,38,976,209,65,586,4871,72
Utilities,6,1,0,0,27,1,1,7,10,7,0,50,10,25,19,6,3516
