,Business Services,Chemicals,Communication Equipment,Communication Services,Consumer Packaged Goods,Drug Manufacturers,Entertainment,Financial Services,Industrial Products,Insurance,Manufacturing - Apparel & Furniture,Medical,Oil and Gas,REITs,Retail - Apparel & Specialty,Technology,Utilities
Business Services,73.99,2.9899999999999998,3.06,3.85,6.17,28.67,3.2800000000000002,6.15,4.9399999999999995,1.31,0.72,5.79,1.32,3.26,5.04,2.6100000000000003,2.1999999999999997
Chemicals,0.9400000000000001,63.14999999999999,0.26,1.39,4.45,0.1,1.06,0.86,5.949999999999999,1.9300000000000002,0.5599999999999999,1.87,1.8900000000000001,0.38999999999999996,1.37,0.64,1.3299999999999998
Communication Equipment,0.13,0.35000000000000003,41.28,0.67,0.16,0.1,0.5499999999999999,0.19,0.25,0.0,0.0,0.3,0.12,0.2,0.73,2.92,0.09
Communication Services,0.44,0.91,5.11,51.62,1.21,0.67,1.02,1.31,2.15,2.18,0.16,1.1199999999999999,0.44,0.74,1.22,3.8699999999999997,4.63
Consumer Packaged Goods,1.01,3.52,1.1900000000000002,4.21,58.58,3.84,2.6,1.13,3.71,2.4299999999999997,0.72,3.34,2.48,0.61,3.08,1.2,4.77
Drug Manufacturers,0.38,0.7799999999999999,2.3,1.03,2.34,46.98,1.83,0.5700000000000001,1.1400000000000001,0.44,0.0,4.72,0.45999999999999996,0.06999999999999999,0.79,1.08,1.2
Entertainment,0.9400000000000001,0.91,0.6799999999999999,4.52,1.8399999999999999,0.48,55.75,1.5,1.21,1.37,0.72,1.32,0.22,1.08,1.67,2.35,0.7799999999999999
Financial Services,1.6400000000000001,3.39,1.7000000000000002,3.49,3.58,0.58,4.51,68.44,4.99,19.31,1.28,4.34,1.71,2.97,6.88,3.1300000000000003,3.95
Industrial Products,3.5900000000000003,8.85,1.3599999999999999,2.98,1.87,1.34,1.4500000000000002,2.37,46.239999999999995,2.8000000000000003,3.1300000000000003,3.54,1.47,1.7999999999999998,3.32,3.61,2.1
Insurance,2.1999999999999997,2.65,0.8500000000000001,1.59,1.9900000000000002,0.96,1.02,4.65,2.3800000000000003,59.07,0.8,2.67,1.52,2.6100000000000003,2.7,1.73,2.48
Manufacturing - Apparel & Furniture,0.31,0.38999999999999996,0.77,0.67,0.5599999999999999,0.29,1.11,0.9400000000000001,0.5700000000000001,0.06,79.61,1.05,0.77,0.61,5.65,1.41,0.45999999999999996
Medical,3.7800000000000002,4.3,5.36,4.41,3.8899999999999997,6.140000000000001,3.7900000000000005,3.53,8.21,2.93,2.09,47.68,1.68,3.0,6.78,5.220000000000001,2.04
Oil and Gas,3.65,2.52,3.74,7.95,4.2700000000000005,4.31,6.6000000000000005,1.78,5.28,1.0,3.45,6.32,80.28999999999999,3.11,7.41,4.77,5.57
REITs,3.15,1.43,1.28,1.18,3.08,1.73,2.85,2.15,2.54,2.4299999999999997,0.32,2.77,1.1199999999999999,74.55000000000001,4.590000000000001,2.64,2.04
Retail - Apparel & Specialty,2.27,0.91,5.53,2.41,1.9300000000000002,2.3,5.92,2.22,3.9600000000000004,1.31,3.37,4.390000000000001,1.34,3.32,41.78,5.38,0.98
Technology,1.2,2.91,25.53,8.06,3.2399999999999998,1.44,6.6000000000000005,2.12,6.25,1.0,3.05,8.35,3.0300000000000002,1.21,6.79,57.35,1.31
Utilities,0.38,0.04,0.0,0.0,0.84,0.1,0.04,0.06999999999999999,0.22999999999999998,0.44,0.0,0.43,0.15,0.45999999999999996,0.22,0.06999999999999999,64.05999999999999
