ticker	sector
EXC	Utilities
ORLY	Retail - Apparel & Specialty
KHC	Consumer Packaged Goods
MLAB	Technology
SIG	Retail - Apparel & Specialty
TDC	Technology
MDLZ	Consumer Packaged Goods
CIT	Financial Services
LNT	Utilities
IART	Medical
IBKC	Financial Services
SIGM	Technology
SHLO	Industrial Products
SWKS	Technology
SHLD	Retail - Apparel & Specialty
CPT	REITs
CHK	Oil and Gas
CMS	Utilities
MHK	Manufacturing - Apparel & Furniture
AOS	Industrial Products
GME	Retail - Apparel & Specialty
NE	Oil and Gas
HRC	Medical
CMCSA	Communication Services
CAVM	Technology
PRLB	Industrial Products
AVY	Industrial Products
NICK	Financial Services
AMD	Technology
DVN	Oil and Gas
CHSP	REITs
RSYS	Technology
CPN	Utilities
PVH	Manufacturing - Apparel & Furniture
TIS	Consumer Packaged Goods
NBL	Oil and Gas
JPM	Financial Services
EOG	Oil and Gas
MTRX	Oil and Gas
LFUS	Technology
CBK	Retail - Apparel & Specialty
PPG	Chemicals
SLG	REITs
HPE	Communication Equipment
INTC	Technology
DNB	Business Services
ABMD	Medical
BSET	Manufacturing - Apparel & Furniture
KTWO	Medical
AXP	Financial Services
DSW	Retail - Apparel & Specialty
SNX	Business Services
JBL	Technology
C	Financial Services
MYL	Drug Manufacturers
SRDX	Medical
HPQ	Technology
POST	Consumer Packaged Goods
FET	Oil and Gas
WAL	Financial Services
NTAP	Technology
AIV	REITs
ATO	Utilities
TSS	Financial Services
BCPC	Chemicals
TMO	Medical
AMAT	Technology
AGO	Insurance
AGN	Drug Manufacturers
ITW	Industrial Products
WLTW	Financial Services
SHOR	Communication Equipment
HBI	Manufacturing - Apparel & Furniture
GPN	Business Services
FIS	Business Services
BDX	Medical
MASI	Medical
UVE	Insurance
HAYN	Industrial Products
NKSH	Financial Services
PBH	Medical
WAT	Medical
EVC	Entertainment
LII	Industrial Products
ECL	Chemicals
CPB	Consumer Packaged Goods
LYV	Entertainment
NXST	Entertainment
NTGR	Communication Equipment
GGP	REITs
TMK	Insurance
TSCO	Retail - Apparel & Specialty
ITG	Financial Services
CE	Chemicals
ZBH	Medical
TR	Consumer Packaged Goods
BHGE	Oil and Gas
BKE	Retail - Apparel & Specialty
DLR	REITs
ARNC	Industrial Products
CCI	Communication Services
AKRX	Drug Manufacturers
XCO	Oil and Gas
ATW	Oil and Gas
RSPP	Oil and Gas
ALL	Insurance
FTI	Oil and Gas
ORI	Insurance
HSIC	Medical
AMKR	Technology
BRS	Oil and Gas
MCK	Medical
UMBF	Financial Services
DXCM	Medical
MCO	Financial Services
PODD	Medical
EGY	Oil and Gas
TECD	Technology
CONN	Retail - Apparel & Specialty
HAL	Oil and Gas
MOV	Retail - Apparel & Specialty
VOYA	Financial Services
CBOE	Financial Services
KEY	Financial Services
COTY	Consumer Packaged Goods
MXIM	Technology
CCOI	Communication Services
PPL	Utilities
CLNE	Oil and Gas
MRCY	Technology
CMTL	Communication Equipment
MMS	Business Services
ESGR	Insurance
HP	Oil and Gas
HIBB	Retail - Apparel & Specialty
FOE	Chemicals
SHW	Chemicals
RL	Manufacturing - Apparel & Furniture
