trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.34388086159976,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,3,-27.52973717921513,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.89755969774762,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.35000230247738,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.29317670416992,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.37614804544559,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.43311723255624,"{0: 9, 1: 6, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.22322934131212,"{0: 12, 1: 6, 2: 0, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,12,-8.493698482104476,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,5,-152.0479400639946,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-187.33025031349854,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-168.80017180303963,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.46082153867943,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,2,-150.6417542902467,"{0: 9, 1: 3, 2: 8, 3: 3, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-176.84902130155302,"{0: 19, 1: 0, 2: 8, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.92683729020493,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-240.64318055421919,"{0: 14, 1: 4, 2: 6, 3: 3, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.53091396164908,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.87349460211979,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-166.52223211501064,"{0: 24, 1: 2, 2: 4, 3: 3, 4: 2}",0
21,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.98248804516886,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 1.0}",30,0,-141.30153341665823,"{0: 14, 1: 5, 2: 10, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.7728896456461,"{0: 14, 1: 4, 2: 4, 3: 3, 4: 0}",0
24,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.01076890338551,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.46165629715395,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.33875693876894,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 1.0}",25,0,-32.904173183617274,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 1.0}",30,0,-164.09528378088265,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
29,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.14227417711007,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 1.0}",20,14,-1.501457472810467,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.86318081768889,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
32,False,"{'a': 0.5, 'e': 1.0}",25,4,-129.37988170136285,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 2}",1
33,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.82527407862884,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
34,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.6601387700916,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.71500720675422,"{0: 8, 1: 4, 2: 4, 3: 3, 4: 1}",0
36,False,"{'a': 0.5, 'e': 1.0}",30,0,-185.09519097912252,"{0: 15, 1: 5, 2: 6, 3: 2, 4: 2}",0
37,False,"{'a': 0.5, 'e': 1.0}",20,0,-183.32982890929736,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
38,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.33047771375544,"{0: 11, 1: 4, 2: 6, 3: 3, 4: 1}",0
39,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.92962697744395,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
40,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.9910793551098,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
41,False,"{'a': 0.5, 'e': 1.0}",30,0,-114.89026485347817,"{0: 22, 1: 1, 2: 3, 3: 3, 4: 1}",0
42,False,"{'a': 0.5, 'e': 1.0}",30,0,-195.32653354897275,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",0
43,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.9095838238802,"{0: 7, 1: 1, 2: 10, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 1.0}",25,13,-77.62143073332437,"{0: 5, 1: 3, 2: 3, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.84681918843211,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
46,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.94654854930042,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 1.0}",25,0,-189.76942681759482,"{0: 10, 1: 4, 2: 8, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 1.0}",30,0,-121.84366349935846,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
