trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.5702244527176,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.21259902887593,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,10,-67.5503844064834,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.2336229673507,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.01900859530946,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.89931641956753,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.02459657610777,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.1480544945166,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,3,-88.81364436599009,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.02087156139433,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-258.02511221725683,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 5}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.44046260235355,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.58860776193184,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-67.15336337999236,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.40885814349555,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.86566639099078,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-199.386739374928,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.54526760918856,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-168.48012770603054,"{0: 11, 1: 6, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-153.87812655646087,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 1.0}",30,0,-73.33539714356212,"{0: 21, 1: 3, 2: 4, 3: 2, 4: 0}",0
22,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.87094783820689,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.71522720915909,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 1.0}",30,0,-132.50516453941665,"{0: 14, 1: 5, 2: 9, 3: 2, 4: 0}",0
25,False,"{'a': 0.5, 'e': 1.0}",30,0,-71.6392232702837,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 1.0}",25,0,-200.16329697256188,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
27,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.05290333057133,"{0: 8, 1: 6, 2: 3, 3: 1, 4: 2}",0
28,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.97158807095313,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.05299180546592,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
30,False,"{'a': 0.5, 'e': 1.0}",30,0,-237.39093990679967,"{0: 16, 1: 4, 2: 5, 3: 1, 4: 4}",0
31,False,"{'a': 0.5, 'e': 1.0}",25,0,-179.5065180625168,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
32,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.92885609714895,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
