trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.39589580066752,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,14,-77.56620045718805,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.00749253726394,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.58129902899435,"{0: 13, 1: 5, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.65649737606537,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.63241346750813,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.7657062970433,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.617494815178,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.72294007866745,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,3,-158.60058524208813,"{0: 8, 1: 4, 2: 1, 3: 1, 4: 3}",1
11,False,"{'a': 0.5, 'e': 1.0}",35,0,-230.37261083628775,"{0: 18, 1: 6, 2: 6, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,1,-56.040381005547744,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,4,-34.112634080647155,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-112.89087864094047,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.9716069065077,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.89517371769297,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-44.82977239819812,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-264.0712331244467,"{0: 8, 1: 1, 2: 3, 3: 4, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.07273798584968,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-170.93238831675222,"{0: 14, 1: 1, 2: 12, 3: 3, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.5933626178152,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-190.52122719821307,"{0: 14, 1: 7, 2: 5, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.6315111049932,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-188.3105010935675,"{0: 12, 1: 4, 2: 4, 3: 3, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,15,-51.054829664140044,"{0: 5, 1: 0, 2: 4, 3: 1, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-135.051028814708,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,3,-103.9667719821376,"{0: 11, 1: 4, 2: 6, 3: 0, 4: 1}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.89698016887733,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-73.09674218615709,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-189.2986490404388,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
